date,ati,quarantine,isolation,tests,confirmed,recovered,deaths
2020-06-05,152,2395,95847,484782,20103,14145,1308
2020-06-06,153,2393,95506,496408,20290,14419,1318
2020-06-07,144,2468,94475,503200,20479,14638,1326
2020-06-08,146,2113,94405,506115,20604,14826,1334
2020-06-09,152,2120,96398,511295,20749,14910,1345
2020-06-10,150,2212,99349,520564,20945,15103,1360
2020-06-11,153,2213,101455,531619,21182,15283,1369
2020-06-12,171,2030,101398,542646,21404,15445,1380
2020-06-13,171,2024,100582,552670,21679,15635,1394
2020-06-14,165,1985,97750,560596,21999,15719,1410
2020-06-15,175,1331,92734,564278,22165,15817,1427
2020-06-16,173,1407,86122,573638,22415,16071,1437
2020-06-17,161,1504,87624,585353,22760,16117,1451
2020-06-18,178,1429,86167,597696,23080,16308,1473
2020-06-19,184,1392,82236,608771,23400,16555,1484
2020-06-20,190,1335,80014,619997,23730,16735,1500
2020-06-21,195,1309,76621,626330,24045,16911,1512
2020-06-22,195,1258,71895,630374,24291,17031,1523
2020-06-23,200,1241,70768,639322,24505,17187,1539
2020-06-24,186,1186,72377,651003,24826,17391,1555
2020-06-25,199,1149,72658,663558,25286,17906,1565
2020-06-26,0,0,0,0,0,0,1565
2020-06-27,199,1061,69472,677259,26022,18530,1575
2020-06-28,217,942,66953,694909,26313,18814,1598
2020-06-29,0,0,0,0,0,0,0
2020-06-30,205,0,61840,710112,26970,20141,1651
2020-07-01,0,0,0,0,0,0,0
2020-07-02,0,0,0,0,0,0,0
2020-07-03,0,0,0,0,0,0,0
2020-07-04,0,0,0,0,0,0,0
2020-07-05,0,0,0,0,0,0,0
2020-07-06,0,0,0,0,0,0,0
